sha1,company_name
2051293967,2051293967
2051294198,2051294198
2051294238,2051294238
2051294521,2051294521
2051294868,2051294868
2051294899,2051294899
2051295302,2051295302
2051295474,2051295474
2051295804,2051295804
2051295857,2051295857
2051296201,2051296201
2051296211,2051296211
2051296403,2051296403
2051296703,2051296703
2051298335,2051298335
2051298689,2051298689
2051298960,2051298960
2051299133,2051299133
2051299269,2051299269
205129993,205129993
2051300166,2051300166
2051300314,2051300314
2051300533,2051300533
2051300592,2051300592
2051300616,2051300616
2051300640,2051300640
2051300725,2051300725
2051300918,2051300918
2051301395,2051301395
2051301954,2051301954
2051302094,2051302094
2051302171,2051302171
2051302395,2051302395
2051302802,2051302802
2051302809,2051302809
2051303492,2051303492
2051303904,2051303904
2051303929,2051303929
2051304145,2051304145
2051304210,2051304210
2051304276,2051304276
2051304307,2051304307
2051305204,2051305204
2051305260,2051305260
2051305779,2051305779
2051305851,2051305851
2051306903,2051306903
2051307696,2051307696
2051307772,2051307772
2051307795,2051307795
2051308084,2051308084
2051309770,2051309770
205131000,205131000
2051310138,2051310138
2051310733,2051310733
2051310844,2051310844
2051311141,2051311141
2051311168,2051311168
2051311710,2051311710
2051311767,2051311767
2051311799,2051311799
2051312165,2051312165
2051312246,2051312246
2051312602,2051312602
2051312684,2051312684
2051312699,2051312699
2051313096,2051313096
205131341,205131341
2051313647,2051313647
2051314002,2051314002
2051315321,2051315321
2051315635,2051315635
2051315668,2051315668
2051315875,2051315875
2051315922,2051315922
2051315996,2051315996
2051316228,2051316228
2051316473,2051316473
2051317493,2051317493
2051317677,2051317677
2051317830,2051317830
2051318196,2051318196
2051319352,2051319352
2051319413,2051319413
2051319476,2051319476
2051320843,2051320843
2051320920,2051320920
2051322580,2051322580
2051323129,2051323129
2051323593,2051323593
2051323935,2051323935
2051324231,2051324231
2051324304,2051324304
2051324672,2051324672
205132508,205132508
2051326370,2051326370
2051326618,2051326618
2051326760,2051326760
2051326991,2051326991
2051327635,2051327635
2051328562,2051328562
2051328980,2051328980
2051329555,2051329555
2051329613,2051329613
2051330486,2051330486
2051332532,2051332532
2051332839,2051332839
2051332963,2051332963
2051333514,2051333514
2051335017,2051335017
2051335140,2051335140
2051335871,2051335871
