source_id,openalex,issn_l,issn,mag,wikidata,fatcat
4210178951,4210178951,0723-0567,"[""0723-0567""]",,96701616.0,container/4agnqgrbfzgu7cv633jfj7d26m
127013269,127013269,1534-6005,"[""1534-6005""]",127013269.0,15759733.0,container/unjqbkaokndupbwp6tpa54gqmm
3523852,3523852,1941-6911,"[""1941-6911""]",3523852.0,27722487.0,container/z5nz37bx3nc4tpfpyoihosg7h4
4210227757,4210227757,1164-4796,"[""1164-4796"", ""2105-2603""]",,3428728.0,
4306534857,4306534857,,,,,
2736636447,2736636447,1870-3925,"[""1870-3925"", ""2448-4849""]",2736636447.0,50557907.0,
4306533117,4306533117,,,,,
24003136,24003136,1324-3780,"[""1324-3780"", ""1440-0979""]",24003136.0,,
90740469,90740469,0009-4021,"[""0009-4021""]",90740469.0,,
141229364,141229364,,,141229364.0,,
2764593732,2764593732,1523-6919,"[""1523-6919"", ""1524-3303""]",2764593732.0,15754395.0,
109073365,109073365,1406-0175,"[""1406-0175"", ""1736-6038"", ""1736-7522"", ""2228-0820""]",109073365.0,12362409.0,
2765024365,2765024365,1530-7638,"[""1530-7638""]",2765024365.0,15749163.0,container/pbsprtj2zzezbeoy4qu5rgoiw4
88382961,88382961,0967-0513,"[""0967-0513"", ""2053-7786""]",88382961.0,,
88895571,88895571,0007-5108,"[""0007-5108"", ""1944-0928""]",88895571.0,15765244.0,
4306463251,4306463251,,,,,
4363608732,4363608732,,,,,
2736497804,2736497804,1677-2504,"[""2178-2822"", ""1677-2504""]",2736497804.0,,
4306463144,4306463144,,,,,
4306517719,4306517719,1226-3591,"[""1226-3591"", ""2287-8203""]",,27723938.0,
86301901,86301901,1133-455X,"[""1133-455X""]",86301901.0,15761945.0,
4306463714,4306463714,,,,,
2737632977,2737632977,1533-242X,"[""1533-242X""]",2737632977.0,15753457.0,container/zxypdkmqena5xgqdralhjlhzta
4306502690,4306502690,,,,,
4210193565,4210193565,0860-6846,"[""0860-6846"", ""2083-8328""]",,96696104.0,
4210169784,4210169784,1315-9518,"[""1315-9518"", ""2477-9431""]",,6107100.0,
4306463702,4306463702,,,,,
81046792,81046792,1368-7506,"[""1368-7506""]",81046792.0,15767180.0,container/upd5jiipijbqhbdlja3ib4bgfm
4210232130,4210232130,0210-9778,"[""1988-3307"", ""2603-9273"", ""0210-9778""]",,,
4306466578,4306466578,,,,,
2764757569,2764757569,0277-4232,"[""0277-4232""]",2764757569.0,5340932.0,
107880978,107880978,,,107880978.0,,
972034074,972034074,0378-7818,"[""2477-9407"", ""0378-7818""]",972034074.0,,
2764349233,2764349233,0736-0983,"[""0037-9719"", ""0736-0983""]",2764349233.0,15762712.0,container/rs6l2nsmtjabfj24z2clgvx3bq
4306463338,4306463338,,,,,
2765035158,2765035158,,,2765035158.0,,
2764395064,2764395064,2155-9821,"[""2155-9821""]",2764395064.0,27725266.0,
4306496233,4306496233,,,,,
4210170594,4210170594,1073-6840,"[""2379-0814"", ""1073-6840""]",,,
4306475329,4306475329,,,,,
1014436910,1014436910,1136-8071,"[""1136-8071""]",1014436910.0,55594593.0,
88096583,88096583,1479-0505,"[""1479-0513"", ""1479-0505""]",88096583.0,15759539.0,
189310978,189310978,0019-6665,"[""0019-6665""]",189310978.0,15801085.0,
4210227871,4210227871,1077-341X,"[""1077-341X"", ""1939-5647""]",,,
2764764968,2764764968,1177-6250,"[""1177-6250""]",2764764968.0,15753741.0,container/psgd7a5lyjefrm5xily4wpqkku
4306475610,4306475610,,,,,
39858931,39858931,0044-3301,"[""1439-2615"", ""0044-3301""]",39858931.0,186821.0,
4210194811,4210194811,0524-0476,"[""1853-8460"", ""0524-0476""]",,,
