work_id,concept_id,score
2051154505,33923547,0.1411905
2051154505,105795698,0.0
2051154596,11026015,0.6986209
2051154596,114088122,0.6944239000000001
2051154596,50517652,0.5406174
2051154596,192562407,0.5378418
2051154596,137693562,0.53509724
2051154596,78519656,0.5318674
2051154596,186937647,0.5270781
2051154596,7694927,0.4940757999999999
2051154596,2780728072,0.47904623
2051154596,135628077,0.45454216
2051154596,193149544,0.44722852
2051154596,186260285,0.4267893
2051154596,1633027,0.41409943
2051154596,17829176,0.4130415
2051154596,41008148,0.3774676
2051154596,127413603,0.2925380999999999
2051154596,119599485,0.2511281
2051154596,49040817,0.24117616
2051154596,530198007,0.1984292
2051154596,149635348,0.17499563
2051154596,57879066,0.16208461
2051154596,114834414,0.12025306
2051154596,66938386,0.11551893
2051154596,146978453,0.104183584
2051154596,121332964,0.0
2051154787,201650216,0.78357214
2051154787,29122968,0.73164976
2051154787,98045186,0.5893804
2051154787,2778137410,0.54507995
2051154787,144133560,0.47977978
2051154787,112930515,0.47912857
2051154787,2779253866,0.46067274
2051154787,139807058,0.45718902
2051154787,42475967,0.423604
2051154787,41008148,0.41276848
2051154787,40700,0.3466288
2051154787,175444787,0.32734907
2051154787,162324750,0.24448332
2051154787,162853370,0.19863772
2051154787,127413603,0.188802
2051154787,41895202,0.0
2051154787,138885662,0.0
2051154787,121332964,0.0
2051154787,120665830,0.0
2051154787,111919701,0.0
2051155012,128536511,0.9589826
2051155012,24667770,0.53406197
2051155012,202225747,0.52920306
2051155012,144024400,0.34794098
2051155012,138885662,0.3279299
2051155012,95457728,0.32558483
2051155012,17744445,0.32074463
2051155312,15708023,0.53772324
2051155312,17744445,0.5289253
2051155312,2776074449,0.5245019000000001
2051155312,142362112,0.4130800999999999
2051155312,127313418,0.15990737
2051155312,165205528,0.037406296
2051155312,77928131,0.0
2051155925,2778805511,0.7118088
2051155925,120095180,0.6680033000000001
2051155925,41008148,0.5536865
2051155925,2778447006,0.45266163
2051155925,518677369,0.43237746
2051155925,23123220,0.395571
2051155925,161191863,0.30777663
2051155925,136764020,0.26716202
2051155925,185592680,0.13503113
2051155925,178790620,0.07217714
