id,orcid,display_name,display_name_alternatives,works_count,cited_by_count,last_known_institution,works_api_url,updated_date
5062289468,,Sérgio Antônio Draibe,"[""Sergio Antônio Draibe"", ""Sergio Draibe"", ""S. A Draibe"", ""Sérgio Antônio Draibe"", ""Sergio A. Draibe"", ""Sérgio Antonio Draibe"", ""Sérgio A. Draibe"", ""S. Draibe"", ""Sérgio Draibe"", ""S. A. Draibe"", ""Sergio Antonio Draibe""]",167,4607,88273585.0,5062289468,2024-02-21T18:11:56.710032
5067094023,,Patrick M. Flood,"[""P. Flood"", ""Patrick Flood"", ""Patrick M. Flood"", ""P. M. Flood""]",125,4607,154425047.0,5067094023,2024-02-21T04:35:05.272928
5071960323,,R. Leuchs,"[""Reinhard Leuchs"", ""R. Leuchs""]",58,4607,861853513.0,5071960323,2024-02-21T22:15:46.312505
5065356202,,Andrew D. Ferguson,"[""A Ferguson"", ""Andrew Ferguson"", ""A. D. Ferguson"", ""Andrew D. Ferguson"", ""A. D Ferguson""]",94,4606,4210119109.0,5065356202,2024-02-21T08:29:28.393439
5086132698,,Michael L. Mimmack,"[""M. Mimmack"", ""Michael Mimmack"", ""M. L. Mimmack"", ""M.L Mimmack"", ""Michael L. Mimmack""]",39,4595,4210156194.0,5086132698,2024-02-21T23:21:55.238676
5024995818,0000-0001-6219-8989,Yong─Geun Oh,"[""Y. Oh"", ""Yong─Geun Oh"", ""Yeon‐Wha Oh"", ""Yebin Oh"", ""Yong‐Geun Oh"", ""Y.‐G. Oh"", ""Yuns Oh"", ""Y. G. Oh"", ""Y. M. Y. J. Oh"", ""Yong Geun Oh"", ""Y.S. Oh"", ""Young‐Seok Oh"", ""Yujeong Oh""]",293,4591,4210104335.0,5024995818,2024-02-21T20:24:45.301294
5038596508,,Bert Ely,"[""B. Ely"", ""B. W. Ely"", ""Bert Ely""]",131,4578,155781252.0,5038596508,2024-02-21T03:21:15.872313
5066572586,,P. Heimann,"[""P. A. Heimann"", ""P A. Heimann"", ""P. Heimann""]",97,4569,148283060.0,5066572586,2024-02-21T01:06:19.830384
5029954150,,Riccardo Baron,"[""R. Baron"", ""Riccardo Baron""]",68,4565,223532165.0,5029954150,2024-02-21T21:55:22.734578
5074758078,,Ann E. Wakefield,"[""A.E Wakefield"", ""A. E. Wakefield"", ""Ann E. Wakefield"", ""A Wakefield""]",90,4562,4210110594.0,5074758078,2024-02-21T01:05:29.479843
5055050619,,Kunisuke Tanaka,"[""Kunisuke Tanaka"", ""К. Tanaka"", ""K.I. Tanaka"", ""K. Tanaka""]",172,4535,169719367.0,5055050619,2024-02-21T12:49:36.538651
5088422718,,Jeffrey D. Bunce,"[""J Bunce"", ""J. D. Bunce"", ""Jeffrey Bunce"", ""Jeffrey D. Bunce""]",14,4532,118118575.0,5088422718,2024-02-21T11:43:33.050728
5084737453,,Charles Armstrong,"[""Charles L. Armstrong"", ""C. Armstrong"", ""C L. Armstrong"", ""Charles Armstrong"", ""C. L. Armstrong""]",145,4527,150569930.0,5084737453,2024-02-21T18:01:19.806849
5072797742,,Roger Guevremont,"[""Roger. Guevremont"", ""R. Guevremont""]",96,4519,142606810.0,5072797742,2024-02-21T19:05:35.880408
5058565276,,Joel G. Hardman,"[""J.G Hardman"", ""J. Hardman"", ""J. G. Hardman"", ""Joel G. Hardman""]",86,4503,200719446.0,5058565276,2024-02-21T02:22:02.525084
5039220042,,Jörg Magull,"[""J. Magull"", ""Jörg Magull"", ""Jorg Magull""]",168,4502,74656192.0,5039220042,2024-02-21T15:28:38.962189
5037571721,,Hiromu Murofushi,"[""Hiromu Murofushi"", ""H. Murofushi""]",114,4501,26120043.0,5037571721,2024-02-21T04:09:02.474750
5025334373,0000-0003-0795-124X,Chris Allton,"[""Allton Cr"", ""C. R Allton"", ""C. Allton"", ""Chris Allton"", ""Chris R. Allton"", ""C. R. Allton"", ""Cr Allton""]",148,4497,39586589.0,5025334373,2024-02-21T07:08:11.852322
5005284578,0000-0003-1722-6340,Gilly Salmon,"[""Gilly Salmon"", ""G. K. Salmon"", ""Gilly K. Salmon""]",105,4487,177877127.0,5005284578,2024-02-21T06:26:36.263514
5018947247,,J. L. Elliot,"[""J. Elliot"", ""J.L Elliot"", ""James Ludlow Elliot"", ""James L. Elliot"", ""James Elliot"", ""J. L. Elliot""]",315,4479,63966007.0,5018947247,2024-02-21T06:14:08.696663
5037703738,,Thomas M. Saba,"[""Toni Saba"", ""T. Saba"", ""Thomas M. Saba"", ""T. M. Saba"", ""Saba Tm""]",193,4470,31746571.0,5037703738,2024-02-21T13:58:46.721648
