concept_id,openalex,wikidata,wikipedia,umls_aui,umls_cui,mag
144027150,144027150,48803,Horticulture,,"[""C5197899""]",144027150
501593827,501593827,12187,Antibiotic,,"[""C0003232""]",501593827
199289684,199289684,83353,Mineralogy,,,199289684
140793950,140793950,168091,Animal%20science,,,140793950
204323151,204323151,905424,Range%20%28aeronautics%29,,"[""C1514721""]",204323151
547475151,547475151,25419,Escherichia%20coli,,"[""C0014834""]",547475151
2776694085,2776694085,974135,Chemotherapy,,"[""C3665472""]",2776694085
159750122,159750122,96621023,Soil%20water%20%28retention%29,,"[""C0037592""]",159750122
46312422,46312422,11024,Communication,,"[""C0009452""]",46312422
199343813,199343813,12128,Dentistry,,"[""C0011441""]",199343813
27415008,27415008,7256382,Psychological%20intervention,,"[""C3542921""]",27415008
99508421,99508421,2678675,Physical%20medicine%20and%20rehabilitation,,"[""C0031813""]",99508421
15708023,15708023,80083,Humanities,,"[""C0020157""]",15708023
91586092,91586092,757520,Atmospheric%20science,,,91586092
49204034,49204034,52139,Climatology,,"[""C2350604""]",49204034
135763542,135763542,106016,Genotype,,"[""C0017431""]",135763542
558461103,558461103,154430,Anxiety,,"[""C0003467""]",558461103
511355011,511355011,12174,Obesity,,"[""C0028754""]",511355011
87717796,87717796,146326,Environmental%20engineering,,"[""C0596517""]",87717796
58640448,58640448,42515,Cartography,,"[""C3826606""]",58640448
2778004101,2778004101,133948,Antioxidant,,"[""C0003402""]",2778004101
548259974,548259974,569965,Audiology,,"[""C0004285""]",548259974
91881484,91881484,191807,Fluorescence,,"[""C0016315""]",91881484
159390177,159390177,9161265,Soil%20science,,"[""C0869024""]",159390177
37914503,37914503,156495,Mathematical%20physics,,,37914503
81885089,81885089,189082,Cell%20culture,,"[""C0007600""]",81885089
72563966,72563966,1303415,Cohort%20%28statistics%29,,"[""C0599755""]",72563966
2779473830,2779473830,1540899,MEDLINE,,"[""C0025141""]",2779473830
2779306644,2779306644,2002370,Insulin%20%28medication%29,,"[""C0021641""]",2779306644
143409427,143409427,161238,Magnetic%20resonance%20imaging,,"[""C0024485""]",143409427
87976508,87976508,1498213,Microstructure,,,87976508
138816342,138816342,189603,Public%20health,,"[""C0034019""]",138816342
155647269,155647269,243455,Medicinal%20chemistry,,"[""C0008003""]",155647269
132651083,132651083,7942,Climate%20change,,"[""C2718051""]",132651083
501734568,501734568,42918,Mutation,,"[""C0026882""]",501734568
80444323,80444323,2878974,Theoretical%20computer%20science,,,80444323
50644808,50644808,192776,Artificial%20neural%20network,,"[""C0870951""]",50644808
156957248,156957248,1862216,Odds%20ratio,,"[""C0028873""]",156957248
2778755073,2778755073,10858537,Scale%20%28ratio%29,,"[""C1947916""]",2778755073
17409809,17409809,161764,Geochemistry,,,17409809
121955636,121955636,4116214,Accounting,,"[""C0000938""]",121955636
2989005,2989005,214963,Nuclear%20medicine,,"[""C0034606""]",2989005
127716648,127716648,104053,Phenotype,,"[""C0031437""]",127716648
115624301,115624301,895901,Crystal%20structure,,"[""C0444626""]",115624301
114793014,114793014,52109,Geomorphology,,,114793014
84114770,84114770,46344,Quantum,,"[""C0309989""]",84114770
16005928,16005928,171171,Dermatology,,"[""C0259831""]",16005928
3017944768,3017944768,1450463,Poison%20control%20center,,"[""C0597261""]",3017944768
110872660,110872660,37813,Ecosystem,,"[""C0162358""]",110872660
29456083,29456083,1221899,Gynaecology,,"[""C0018417""]",29456083
2779851234,2779851234,50690,Oxide,,"[""C0030015""]",2779851234
540031477,540031477,629,Oxygen,,"[""C0030054""]",540031477
136229726,136229726,327092,Biomedical%20engineering,,"[""C0005539""]",136229726
140205800,140205800,5860,Carbon%20fibers,,"[""C0007009""]",140205800
46141821,46141821,209402,Nuclear%20magnetic%20resonance,,"[""C0028580""]",46141821
2779530757,2779530757,1207505,Quality%20%28philosophy%29,,"[""C0332306""]",2779530757
13280743,13280743,131089,Geodesy,,,13280743
184235292,184235292,421851,Kinase,,"[""C0031727""]",184235292
185933670,185933670,52105,Habitat,,"[""C0871648""]",185933670
42407357,42407357,521,Physiology,,"[""C0031842""]",42407357
24998067,24998067,4114622,Stimulation,,"[""C1709372""]",24998067
62649853,62649853,199687,Remote%20sensing,,"[""C2936613""]",62649853
500558357,500558357,12152,Myocardial%20infarction,,"[""C0027051""]",500558357
524204448,524204448,788926,Infectious%20disease%20%28medical%20specialty%29,,"[""C0009450""]",524204448
107130276,107130276,133805,Epidemiology,,"[""C0014507""]",107130276
27081682,27081682,269829,Placebo,,"[""C0032042""]",27081682
509550671,509550671,126945,Medical%20education,,"[""C0013631""]",509550671
149635348,149635348,193040,Embedded%20system,,,149635348
135628077,135628077,220184,Finite%20element%20method,,"[""C1333620""]",135628077
